COUNTY NAME,COUNTY CODE,BLACK MALE,BLACK FEMALE,BLACK UNKNOWN,WHITE MALE,WHITE FEMALE,WHITE UNKNOWN,ASIA-PI MALE,ASIA-PI FEMALE,ASIA-PI UNKNOWN,HISP-LT MALE,HISP-LT FEMALE,HISP-LT UNKNOWN,NATIVE-AM MALE,NATIVE-AM FEMALE,NATIVE-AM UNKNOWN,OTHER MALE,OTHER FEMALE,OTHER UNKNOWN,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN,TOTAL VOTERS
STEPHENS,127,298,489,0,4089,4668,2,20,21,0,22,20,0,1,2,0,9,21,0,138,151,0,9951
STEWART,128,439,745,1,449,439,0,0,1,0,5,1,0,3,0,0,2,1,0,20,21,0,2127
SUMTER,129,1645,3102,2,2759,3239,0,20,19,0,23,37,0,0,0,0,25,29,0,92,97,0,11089
TALBOT,130,701,1115,0,642,689,0,2,3,0,4,6,0,0,2,0,4,7,0,48,53,0,3276
TALIAFERRO,131,222,276,0,174,207,0,0,1,0,2,0,0,0,0,0,2,2,0,9,7,1,903
TATTNALL,132,434,758,1,2495,2944,6,6,15,0,45,64,0,2,1,0,16,11,0,105,109,3,7015
TAYLOR,133,386,743,0,1024,1136,0,1,3,0,2,8,0,1,0,0,1,4,0,51,72,1,3433
TELFAIR,134,403,711,0,1255,1359,1,2,5,0,3,10,0,1,0,0,3,4,0,28,34,1,3820
TERRELL,135,727,1445,0,936,999,0,1,2,0,7,9,0,1,0,0,9,5,0,43,67,2,4253
THOMAS,136,1771,3669,3,5691,6808,12,36,33,0,30,50,1,3,5,0,24,43,0,365,480,3,19027
TIFT,137,1012,2104,5,4847,5689,6,37,36,0,123,133,0,0,0,0,29,37,0,150,164,8,14380
TOOMBS,138,544,1176,2,3217,3832,1,14,15,0,47,87,0,0,0,0,19,27,0,118,121,2,9222
TOWNS,139,10,12,0,3093,3541,2,9,7,0,9,18,0,1,3,0,7,4,0,113,94,1,6924
TREUTLEN,140,245,524,0,902,1005,1,0,1,0,4,2,0,1,0,0,1,0,0,14,28,0,2728
TROUP,141,2459,5054,0,8006,9492,9,62,58,0,81,87,0,4,6,1,46,66,4,463,486,8,26392
TURNER,142,377,724,1,1036,1191,0,2,4,0,7,8,0,2,0,0,3,2,0,28,33,0,3418
TWIGGS,143,737,1064,1,1022,1107,2,1,3,0,7,10,0,0,1,0,3,9,0,69,68,1,4105
UNION,144,7,5,0,5394,6158,6,7,24,0,21,40,0,0,4,0,19,16,0,276,273,3,12253
UPSON,145,986,1771,1,3566,4205,5,14,10,0,9,17,1,0,2,0,18,20,0,201,244,2,11072
WALKER,146,241,397,0,9916,11574,5,25,25,0,38,43,0,6,4,0,23,55,0,1050,1181,5,24588
WALTON,147,1626,2975,1,14297,16587,12,74,87,0,135,204,0,6,8,0,91,126,0,2244,2576,10,41059
WARE,148,868,1774,0,4194,4996,5,24,23,0,30,42,0,8,1,0,15,23,0,141,149,4,12297
WARREN,149,427,823,1,503,544,0,1,4,0,1,2,0,3,1,0,5,4,0,20,16,0,2355
WASHINGTON,150,1346,2554,0,2096,2360,1,4,2,0,5,17,0,2,0,0,8,6,0,64,85,2,8552
WAYNE,151,466,884,0,3951,4489,3,13,21,0,32,37,1,2,2,0,12,13,0,257,304,1,10488
WEBSTER,152,162,264,0,330,351,0,0,0,0,2,1,1,0,0,0,2,2,0,5,7,0,1127
WHEELER,153,207,313,1,754,778,0,0,0,0,3,10,0,1,0,0,1,0,0,16,20,0,2104
WHITE,154,49,68,0,5355,6013,0,15,18,0,37,38,0,0,5,0,12,10,0,187,192,1,12000
WHITFIELD,155,420,645,0,11128,12996,14,91,97,0,1378,1669,4,8,8,0,82,88,1,1121,1253,9,31012
WILCOX,156,260,496,0,1042,1156,1,4,3,0,7,12,0,2,0,0,2,4,0,13,9,0,3011
WILKES,157,546,1050,0,1336,1486,0,6,6,0,3,2,0,1,3,0,4,8,0,33,47,0,4531
WILKINSON,158,630,1103,1,1187,1311,0,1,3,0,1,3,0,0,0,0,4,4,0,39,33,1,4321
WORTH,159,593,1117,0,3061,3347,2,1,11,0,11,17,0,1,2,0,25,14,0,80,80,3,8365
TOTALS,12720,417320,733741,888,1178838,1349459,1513,30426,35079,188,36807,51560,186,1333,1526,11,18000,24912,123,126980,150496,2460,4161846
